group,normal_mae,rough_mae,rough_rmse,metal_mae,metal_rmse,lpips_render
GLOBAL,10.395013439605941,0.10835481834777208,0.12678591598126088,0.04101928725108111,0.04852213870447207,0.29107084439892555
brick_terracotta,11.561516517546119,0.08161123901060442,0.09932733758738856,0.011986180538344354,0.01573076041498142,0.27317453851787055
ceramic_ground,8.957514975865681,0.09901828241844972,0.1187788462638855,0.02257762630377935,0.027110303453887354,0.23725939109921457
concrete_plaster,13.209764894686247,0.09921120607147091,0.11963143905526713,0.13467168413068534,0.1596313764460403,0.396128945876109
marble_smooth,7.564814505832536,0.1285452315184687,0.14546244258859328,0.07049732972399982,0.07390405030765887,0.2942350984786572
metal,8.228201043605804,0.09426489240889038,0.11031309376869883,0.10920547297820186,0.15271601483747352,0.31567277937861427
mixed_ambiguous,9.507629254254802,0.11717822139376197,0.13768690048941765,0.04809164152182471,0.05269547565417407,0.3101847789695904
stone_rough,16.422128999317195,0.08960217258460085,0.1068879325519985,0.015876183511612536,0.018321142409402608,0.3732244537464461
wood,8.727675130476756,0.1308670072835319,0.14784832064974673,0.026192266699677228,0.029562374396445476,0.22753731478813427
